Question,Answer
هل يشترط وجود مكتب لإصدار الترخيص؟,وجود المكتب متطلب عند إصدار تراخيص الأنشطة الآتية: (خدمات السفر والسياحة، إدارة مرافق الضيافة، الاستشارات السياحية)ويسمح لمكاتب الاستشارات السياحية ولخدمات السفر والسياحة فئة (تنظيم رحلات سياحية) و(وكالة السفر والسياحة) و(حجز وحدات الضيافة) ممارسة النشاط عبر المنصات الإلكترونية فقط. للمزيد من التفاصيل، يمكن الاطلاع على لائحة النشاط السياحي أو دليل خدمات النشاط المختار التقدم له بطلب الترخيص من خلال زيارة موقع الوزارة. mt.gov.sa.
كيف يمكن لطالب الترخيص على إحدى الأنشطة السياحية طباعة الترخيص بعد صدوره؟,يمكن للمرخَّص له طباعة الترخيص إلكترونيًا بعد صدوره في حسابه في بوابة التراخيص عبر الدخول إلى الرابط الآتي: TLG.Mt.gov.sa
كيف يصدر ترخيص مرفق الضيافة السياحي وتصنيفه؟,يصدر ترخيص مرفق الضيافة السياحي وتصنيفه بعد صدور تقرير المفتش على مرفق الضيافة السياحي، وبناءً على التقرير يتم تحديد التصنيف المستحق.
كيف يمكن لطالب ترخيص مرفق الضيافة السياحي طباعة ترخيص المرفق وتصنيفه بعد صدوره؟,يمكن للمرخَّص له طباعة الترخيص أو التصنيف إلكترونيًا في حسابه في بوابة التراخيص عبر الدخول إلى الرابط الآتي: TLG.Mt.gov.sa
هل يجوز ممارسة الأنشطة السياحية قبل الحصول على الترخيص؟,لا يجوز ممارسة أي نشاط سياحي دون الحصول على الترخيص، أو بعد انتهائه، أو إلغائه، أو خلال فترة تعليقه.
كيف يتم ضبط عمل الأنشطة السياحية؟,عملت الوزارة على إصدار لائحة التفتيش على الأنشطة السياحية لمراقبة مدى التزام المنشآت بالاشتراطات والمعايير (لائحة التفتيش على الأنشطة السياحية).
ما الذي يحصل في حال مخالفة اشتراطات الأنشطة السياحية؟,عملت الوزارة على إصدار لائحة خاصة بالمخالفات لضمان حسن سير عمل المراقبة على المنشآت.
ما المقصود بمرفق الضيافة السياحي؟,كل مـكان يوفـر خدمـة المبيـت للسـائح مقابـل أجـر، يعمـل بشـكل دائـم أو مؤقـت.
ماهي أنواع مرافق الضيافة السياحية؟,هي عشرة أنواع معتمدة صنفتها اللائحة على الشكل الآتي: 1- الفنادق 2- الفنادق التراثية 3- الفلل الفندقية 4- الشقق الفندقية 5- الشقق المخدومة 6- بيوت العطلات 7- المنتجعات 8- النزل 9- مرافق الضيافة المؤقتة 10- المخيمات و للمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة مرفق الضيافة السياحي) في موقع الوزارة mt.gov.sa.
ما هي مدة الترخيص في مرفق الضيافة السياحي؟,مدة الترخيص تبدأ من (3) أشهر الى (3) سنوات حسب رغبة طالب الترخيص ونوع مرفق الضيافة السياحي. و للمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة مرفق الضيافة السياحي) في موقع الوزارة mt.gov.sa.
ماهي آلية تجديد ترخيص مرفق الضيافة السياحي؟,تجديد ترخيص مرفق الضيافة السياحي يتم بصورة فورية عبر موقع الوزارة الإلكتروني، وذلك بعد دفع المقابل المالي وتقديم التعهدات المطلوبة. وللمزيد من المعلومات، يمكن الاطلاع على لائحة مرفق الضيافة السياحي أو دليل الخدمات التابع للائحة عبر زيارة موقع الوزارة الإلكتروني من خلال الرابط الآتي: mt.gov.sa
هل يتطلب ترخيص مرفق الضيافة السياحي تقديم صكٍ إلكتروني أو عقد إيجار للعقار؟,لا يتطلب ترخيص مرفق الضيافة السياحي تقديم صكٍ إلكتروني أو عقد إيجار للعقار.
هل يحق للسائح إلغاء الحجز في إحدى مرافق الضيافة السياحية واسترجاع المبالغ المالية المدفوعة؟,يعتمد ذلك على سياسة الإلغاء والاسترجاع المنصوص عليها في مستند الحجز، علــى أن يتضمــن ذلك آليــة طلــب إلغــاء الحجــز أو تعديلــه، والمــدد المحــددة لقبولــه أو رفضــه.
هل يتمّ الإعفاء من المعايير الإنشائية عند التقدم للترخيص أو التصنيف؟,يعفى المرخَّص له من الوزارة أو الحاصل على رخصة تجارية من وزارة الشؤون البلدية والقروية والإسكان لإحدى أنواع مرافق الضيافة السياحية من المعايير التي يتطلب توفيرها أعمالًا إنشائية قبل تاريخ 19/5/1444هـ. يمكن الاطلاع على المعايير التي يتم الاعفاء عنها من خلال زيارة الصفحة الخاصة بمعايير التصنيف في موقع الوزارة.mt.gov.sa
ما المقصود بمرفق الضيافة السياحي الخاص؟,هو وحدة عقارية مؤثثة ومستقلة ومملوكة لفرد ومصرحة من الوزارة . وتوفر هذه الوحدة خدمة المبيت بشكل يومي للسائح مقابل أجر.
كم عدد التصاريح التي يمكن استخراجها لمرفق الضيافة الخاص؟,• يجب ألا يتجاوز عدد التصاريح في العقار الواحد (3) تصاريح.في حال كان عدد التصاريح الصادر مسبقًا لمقدم طلب التصريح (8) لمرافق الضيافة السياحية الخاصة متعددًا وساريًا في الوقت نفسه، يتوجب على المقدم أن يضع في طلبه للتصريح عقدًا ساريًا بإدارة المرافق المصرح لها مع مقدم خدمة إدارة مرافق الضيافة السياحية. وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة مرفق الضيافة السياحي الخاص) في موقع الوزارة mt.gov.sa.
ما هي مدة التصريح في مرفق الضيافة السياحي الخاص؟,لا تزيد مدة سريان التصريح عن (سنة).
هل يتطلب تقديم صك ملكية عقار أو عقد إيجار إلكتروني عند التقدم لطلب الترخيص؟,نعم، من شروط التقدم لطلب الترخيص على مرفق الضيافة السياحي الخاص تقديم صك تملك أو عقد إيجار إلكتروني لإثبات حق الملكية أو الانتفاع من العقار.
ما هو الإجراء المتخذ عند وقوع خطر في أثناء رحلة الإرشاد السياحي؟,يجب إبلاغ الجهات المختصة والوزارة فورًا، وذلك عبر القنوات المخصصة لأي حادث متعلق بالأمن والسلامة عند تنفيذ خدمات الإرشاد السياحي.
ما هي المواقع التي يمنع تقديم خدمات الإرشاد السياحي فيها؟,يمنع تقديم خدمة الإرشاد السياحي دون إذن من الجهات المختصة في المواقع الآتية: • المناطق العسكرية • المناطق الحدودية • المناطق الجمركية
هل اللغة الإنجليزية شرط للترخيص؟,لا تشترط اللغة الانجليزية للحصول على الترخيص.
هل اللغة الإنجليزية شرط للترخيص؟,18 عام
ماهي فئات الترخيص للإرشاد السياحي؟,للإرشاد السياحي ثلاث فئات في الترخيص، وهي: - مرشد مسار - مرشد متخصص - مرشد موقع وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة الارشاد السياحي) في موقع الوزارة mt.gov.sa.
ما هي أنواع التراخيص في نشاط الاستشارات السياحية؟,يتضمن نشاط الاستشارات السياحية نوعين من التراخيص، هما 1. ترخيص أفراد: اي ممارسة النشاط من قبل الفرد 2. ترخيص مكاتب: أي الترخيص لكيان تجاري، ويشترط عليه توفير سجل تجاري لطالب الترخيص وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة الاستشارات السياحية) في موقع الوزارة mt.gov.sa
هل يشترط توفير مكتب لترخيص الأفراد في نشاط الاستشارات السياحية؟,لا يشترط، بل هو أمر اختياري متروك لممارس النشاط
هل يمكن للموظف الحكومي التقدم بطلب ترخيص أفراد لممارسة نشاط الاستشارات السياحية؟,نعم، يستطيع الموظف الحكومي ممارسة الأعمال المهنية لأن الاستشارات تعدّ مهنًا فكرية وفنية ولا تدخل ضمن الأعمال التجارية. وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة الاستشارات السياحية) في موقع الوزارة mt.gov.sa.
ما هو المقصود بالنشاط التجريبي؟,هو نشاط لا يندرج تحت اختصاص جهة محددة أو إشرافها، ويغلب عليه الطابع السياحي.
هل يوجد مقابل مالي لإصدار تصريح النشاط التجريبي؟,لا يوجد مقابل مالي.
هل يوجد متطلبات أساسية عند التقدم بطلب ممارسة نشاط تجريبي للمرة الأولى؟,نعم، يوجد متطلبات أساسية، وهي: 1. تقديم دراسة تتضمن أفضل الممارسات العالمية ذات الصلة بالنشاط -إن وجدت 2. تقديم دراسة الجدوى الاقتصادية للنشاط 3. تقديم خطة التقييم على أن تتضمن مراحل التنفيذ، والجدول الزمني، وكيفية تحقيق النتائج المستهدفة من النشاط 4. تقديم خطة الخروج على أن تتضمن المراحل النهائية المحتملة وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة الأنشطة التجريبية) في موقع الوزارة mt.gov.sa.
متى يتم إيقاف النشاط التجريبي؟,توقف الوزارة النشاط التجريبي في الحالات الآتية: 1. إذا حقق النشاط النتائج النتائج المتوقعة منه وذلك تمهيًدا لاعتماده نشاطًا سياحيًّا يتم الترخيص له من قبل الوزارة 2. إذا لم يحقق النشاط النتائج المتوقعة منه وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة الأنشطة التجريبية) في موقع الوزارة mt.gov.sa.
هل هناك فئات معينة لنشاط خدمات السفر والسياحة؟,نعم، يوجد فئات لنشاط خدمات السفر والسياحة، وهي: 1. حجز وحدات الضيافة 2. تنظيم الرحلات السياحية 3. وكالة السفر والسياحة 4. خدمات سفر وسياحة عامة وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة خدمات السفر والسياحة) في موقع الوزارة mt.gov.sa.
هل يتوجب الترخيص لنشاط السفر والسياحة وجود مكاتب فرعية؟ وهل يتطلب مقابلًا ماليًا؟,يجب أن يتم اصدار ترخيص لكل مكتب فرعي، على أن يكون بنفس فئة المكتب الرئيسي.يوجد مقابل مالي لكل ترخيص يصدر للمكتب الفرعي. وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة خدمات السفر والسياحة) في موقع الوزارة mt.gov.sa.
هل يشترط تقديم ضمان مالي عند اصدار ترخيص للمكتب الفرعي؟,لا يشترط تقديم ضمان مالي للمكاتب الفرعية، ويكتفى بالضمان المالي المقدم عند ترخيص المكتب.
ما هو المقصود بإدارة مرفق الضيافة السياحي؟,هو تقديم الخدمات الداعمة لمشغل مرفق الضيافة السياحي ومرفق الضيافة السياحي الخاص، بناءً على خبرة فنية متخصصة في إدارة المرافق والخدمات والمهارات التي تتوافق مع نوع المرفق وفئته أو درجة تصنيفه.
هل يوجد متطلبات أساسية للتقدم بطلب الترخيص لإدارة مرافق الضيافة السياحية؟,نعم، يوجد متطلبات أساسية عند التقدم بطلب الترخيص، وهي: • سجل تجاري ساري المفعول لنشاط إدارة مرافق الضيافة السياحية • ترخيص ساري المفعول من وزارة الشؤون البلدية والقروية والإسكان • ما يثبت توفر الخبرة حسب الفئة المطلوبة، على أن يتم تصديقها في حال كانت الخبرة خارج المملكة • المستندات والوثائق المتعلقة بآليات إدارة مرافق الضيافة السياحية وفقًا لما تحدده الوزارة • البيانات الرسمية لمقدم الطلب ومن يمثله في تعاملاته مع الوزارة فيما يخص النشاط- إن وجد- وبيانات المكتب • ما يثبت حق استخدام العلامة التجارية- إن وجدت وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة إدارة مرافق الضيافة السياحية) في موقع الوزارة mt.gov.sa.
هل يشترط توفر الخبرة للحصول على ترخيص نشاط إدارة مرافق الضيافة السياحية؟,نعم، يتطلب وجود خبرة بحسب الفئة المراد ترخيصها. وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة إدارة مرافق الضيافة السياحية) في موقع الوزارة mt.gov.sa.
هل ثمة فئات لترخيص نشاط إدارة مرافق الضيافة السياحية؟,نعم، هناك أربع فئات وهي: فئة (أ) - فئة (ب) - فئة (ج) - فئة (د). تحدد هذه الفئات أنواع مرافق الضيافة التي يمكن إدارتها من خلال المرخَّص له. وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة إدارة مرافق الضيافة السياحية) في موقع الوزارة mt.gov.sa.
ماهي طريقة إثبات الخبرة لمقدم طلب الترخيص؟,يتم تقديم ما يثبت خبرة مقدم الطلب لمنح ترخيص نشاط إدارة مرافق الضيافة السياحية، وذلك بوجود ترخيص سابق يشمل عدد السنوات لإثبات الخبرة، ويجب أن يكون مسمى المؤسسة او الشركة عند تقديم طلب الترخيص مماثلًا لاسمها عند مزاولة النشاط سابقًا.
هل يتشرط أن تكون الخبرة داخل المملكة؟,لا يشترط أن تكون الخبرة داخل المملكة، ولكن يجب تصديق الخبرة المكتسبة خارجها.
هل ثمة اشتراطات للعاملين مع المرخَّص له في إدارة مرفق الضيافة السياحية؟,نعم، هنالك شروط لضمان استيفاء عدد العاملين لدى المرخَّص له.
كيف أعرف ما إذا كنت مؤهلاً للتقديم على التأشيرة السياحية الإلكترونية؟,نرحب بالجميع للتقدم بطلب للحصول على تأشيرة سياحية والتي يمكن إصدارها كتأشيرة إلكترونية أو تأشيرة عند الوصول أو من خلال السفارة. يمكنك التحقق من أهليتك للتأشيرة الإلكترونية السياحية من خلال صفحة متطلبات التأشيرة.
هل يمكنني الحصول على التأشيرة السياحية عند الوصول إلى السعودية؟,يمكن إصدار التأشيرة السياحية كتأشيرة إلكترونية أو تأشيرة عند الوصول أو من خلال السفارة. يمكنك التحقق من أهليتك للحصول على التأشيرة عند الوصول من خلال صفحة متطلبات التأشيرة.
كم تكلفة التأشيرة الإلكترونية السياحية؟,تختلف تكلفة التأشيرة السياحية. يمكنك التحقق من التكلفة و معرفة طريقة التقديم على صفحة متطلبات التأشيرة
لدي تأشيرة من دول الشنغن/ أو المملكة المتحدة/ أو الولايات المتحدة. هل بإمكاني الحصول على التأشيرة السياحية عند الوصول إلى ‏المملكة العربية السعودية؟,نعم، يمكن لحاملي التأشيرات السياحية أو التجارية في الولايات المتحدة الأمريكية والمملكة المتحدة ودول الشنغن الحصول على التأشيرة السياحة السعودية عند الوصول. يرجى زيارة صفحة متطلبات التأشيرة لمزيد من المعلومات.
دولتي غير موجودة في قائمة الدول المُؤهلة للتأشيرة السياحية الإلكترونية. كيف يمكنني إصدار تأشيرة سياحية؟,نرحب بالجميع للتقدم بطلب للحصول على تأشيرة سياحية والتي يمكن إصدارها كتأشيرة إلكترونية أو تأشيرة عند الوصول أو من خلال السفارة. يمكنك التحقق من أهليتك للتأشيرة السياحية والطرق المتاحة للتقديم من خلال صفحة متطلبات التأشيرة. 
لدي إقامة دائمة في المملكة المتحدة أو الولايات المتحدة أو دول الاتحاد الأوروبي. هل يمكنني للحصول على التأشيرة السياحية عند الوصول؟,نعم ، يمكن للمقيمين بشكل دائم في المملكة المتحدة والولايات المتحدة ودول الاتحاد الأوروبي الحصول على التأشيرة السياحة عند الوصول. يرجى مراجعة صفحة متطلبات التأشيرة لمزيد من المعلومات.
هل بإمكاني التقدم بطلب استخراج تأشيرة سياحية لأداء فريضة الحج أو العمرة؟,التأشيرة السياحية تسمح بأداء العمرة، ولكن لا يمكن تأدية العمرة في موسم الحج. لتأدية الحج، يجب التقدم بطلب للحصول على تأشيرة لأداء الحج من خلال وزارة الحج. ملاحظات:النساء المسلمات أداء فريضة العمرة دون وجود محرم.مكة المكرمة والمدينة المنورة مخصصة للزوار المسلمين فقط، حيث يؤدي ملايين الحجاج مناسك الحج والعمرة كل عام. ولكن هناك العديد من المواقع حول المدينتين المقدستين مفتوحة  المسلمين وتقدم لمحة تاريخية وثقافية رائعة. من المعلومات حول تأشيرة العمرة، الرجاء زيارة الموقع الرسمي لوزارة الحج والعمرة.
هل يمكنني إلغاء التأشيرة الإلكترونية الخاصة بي أو استرداد رسوم التأشيرة في حال تم رفض الطلب؟,لا، رسوم التأشيرة السياحية غير قابلة للاسترداد بأي حال من الأحوال كما هو موضح في الفقرة 5.3 من الشروط والأحكام.
هل يتعين علي الحصول على تأمين طبي للتقدم لطلب التأشيرة السياحية؟,يتم إصدار التأمين الصحي مع تأشيرتك الإلكترونية، وتشتمل رسوم التأشيرة الإلكترونية تكاليف التأمين الصحي. يتم إرسال التأمين الصحي عبر البريد الإلكتروني ‏على هيئة ملف بصيغة ‏PDF‏ مرفقاً مع التأشيرة الإلكترونية، ويمكن أيضاً تحميله من خلال الدخول على حسابك في موقع ‏التأشيرة الإلكترونية.‏يرجى ملاحظة أن التأمين الصحي يغطي التكاليف المتعلقة بفايروس كورونا COVID-19مدة سريان تغطية التأمين الطبي هي سنة واحدة بدءًا من تاريخ الإصدار، وهي مطابقة لمدة صلاحية التأشيرة السياحية (سنة واحدة من ‏تاريخ الإصدار).‏في حالة وجود أي أخطاء في التأمين الطبي، الرجاء التواصل مع مركز العناية بالزائر لتقديم طلب.‏‎
هل بإمكان حاملي التأشيرات السياحية الدخول إلى المملكة العربية السعودية من خلال المنافذ البرية؟, نعم، بإمكان السياح حاملي التأشيرة الإلكترونية الدخول إلى المملكة العربية السعودية من خلال أي منفذ رسمي.
كيف احصل على تأمين صحي لفايروس كورونا؟,تشمل تكلفة التأشيرة السياحية رسومًا للتأمين الصحي الكامل متضمنة تكلفة تأمين كوفيد19.
تتوقف رحلتي بشكل مؤقت في المملكة العربية السعودية، هل أحتاج إلى الحصول على تأشيرة مرور؟,إذا كنت تخطط لدخول المملكة العربية السعودية في طريقك إلى وجهتك النهائية، فأنت بحاجة إلى التقدم بطلب للحصول على تأشيرة مرور. يمكن الحصول على تأشيرة المرور مُسبقا من خلال سفارات المملكة العربية السعودية بالخارج أو إلكترونيًا أثناء حجز الرحلات عن طريق الخطوط السعودية أو طيران ناس. 
كيف يمكنني الحصول على تأشيرة المرور؟,يمكن للزوار الحصول على تأشيرة المرور مُسبقا من خلال سفارات المملكة العربية السعودية بالخارج أو إلكترونيًا أثناء حجز الرحلات عبر طيران السعودية أو طيران ناس. 
لا أخطط لزيارة المملكة العربية السعودية ولكن رحلتي تتوقف في البلد، هل ما زلت بحاجة إلى تأشيرة مرور؟,تأشيرة المرور تكون مطلوبة إذا كنت تخطط لعبور نقطة الجوازات.إذا كان لديك حجزان منفصلان مما يتوجب عليك المرور بنقطة الجوازات، يجب عليك الحصول على تأشيرة المرور لدخول البلاد، وانهاء اجراءات السفر مرة أخرى للرحلة التالية في حال كان لديك حجز واحد يمر عبر المملكة العربية السعودية ولا يتوجب عليك المرور بنقطة الجوازات، فلن تحتاج إلى الحصول على تأشيرة مرور.
هل أستطيع قيادة الطائرات المسيرة في المملكة العربية السعودية؟, لا يسمح لحاملي التأشيرة السياحية بقيادة الطائرات بدون طيار في المملكة.يمكن للمقيمين والمواطنين السعوديين قيادة طائرات بدون طيار بناءً على التصاريح.لتقديم طلب للحصول على تصريح، يرجى تسجيل طلبك على موقع الهيئة العامة للطيران المدني
هل يمكنني دخول المملكة العربية السعودية كسائح؟,بالطبع، المملكة العربية السعودية فتحت أبوابها للعالم من خلال التأشيرة السياحية. نرحب بك لاستكشاف كرم ضيافة الشعب السعودي، والتراث الغني، والثقافة النابضة بالحياة، والمناظر الطبيعية الآسرة.يمكن إصدار التأشيرة السياحية كتأشيرة إلكترونية أو تأشيرة عند الوصول أو عن طريق السفارة، ويمكنك دخول السعودية عبر المنافذ البرية والبحرية والجوية. يرجى مراجعة صفحة متطلبات التأشيرة لمزيد من المعلومات.
هل المملكة العربية السعودية آمنة؟,المملكة العربية السعودية بلد آمن للغاية، يتمتع بثقافة ترحيبية ومعدل جريمة منخفض. يحمي القانون السعودي سلامة المواطنين والزوار وكرامتهم ورفاههم.
هل بإمكان الزوار زيارة مكة المكرمة والمدينة المنورة؟,مكة المكرمة والمدينة المنورة مخصصة للزوار المسلمين فقط، حيث يؤدي ملايين الحجاج مناسك الحج والعمرة كل عام. ولكن هناك العديد من المواقع حول المدينتين المقدستين مفتوحة ‏لغير المسلمين وتقدم لمحة تاريخية وثقافية رائعة.‏
هل المشروبات الكحولية متوفرة في المملكة العربية السعودية؟, لا، شرب الكحول غير قانوني في المملكة العربية السعودية والمملكة تقدم تجارب فريدة وأصيلة حيث سيتمكن المسافرون وعشاق الثقافة والمغامرة من الاستمتاع بها بدون كحول.
هل يُرحب بزيارة المثليين للمملكة العربية السعودية؟,نرحب بالجميع لزيارة المملكة العربية السعودية ولا نطلب من الزوار الكشف عن هذه التفاصيل الشخصية.
